GEOID,sovi,rank
g19033,0.895850270585969,1080.0
g19035,0.6666816809320648,1211.0
g19037,-1.5604050171697745,2341.0
g19039,1.5261004208085083,802.0
g19041,0.26532830057939094,1438.0
g19043,0.4902473173877464,1313.0
g19045,-0.16066246930394956,1675.0
g19047,1.4513525001120637,824.0
g19049,-5.412928655489122,3049.0
g19051,-0.13019851523901899,1653.0
g19053,0.8987768578676918,1077.0
g19055,-1.5954063132187846,2356.0
g19057,1.3096447448514041,892.0
g19059,-0.2993305126107688,1756.0
g19061,-0.5741250781061846,1903.0
g19063,0.331003106836369,1406.0
g19065,0.45477679432281215,1338.0
g19067,1.1118923923832724,980.0
g19069,1.022261417024994,1024.0
g19071,0.36848428617538165,1383.0
g19073,0.48797873334730846,1315.0
g19075,-1.6272298447240874,2367.0
g19077,-0.2313836241060372,1713.0
g19079,-0.1368419896413382,1659.0
g19081,-0.3596970531883241,1793.0
g19083,0.4383614886661019,1343.0
g19085,-0.13646518203030822,1658.0
g19087,-0.031053068718472576,1591.0
g19089,0.7195214019385134,1180.0
g19091,0.28111005762565644,1428.0
g19093,0.7312648647991922,1174.0
g19095,-1.4895012946874644,2318.0
g19097,-0.4422831270657027,1841.0
g19099,-0.7630401479657511,1998.0
g19101,-2.8212364489009296,2713.0
g19103,-3.80058845622007,2911.0
g19105,-1.1149949074888443,2158.0
g19107,1.048610639215354,1009.0
g19109,0.48562219410307406,1317.0
g19111,0.6522253829099341,1220.0
g19113,-2.602545855729471,2657.0
g19115,-0.03404802210130242,1594.0
g19117,0.7736672603461364,1151.0
g19119,-1.0555084810289936,2127.0
g19121,-2.9812111977648166,2745.0
g19123,-1.1305455674624318,2165.0
g19125,-1.701707738356785,2391.0
g19127,1.3347192191758108,879.0
g19129,-2.5948265721667854,2654.0
g19131,0.36757158479735796,1384.0
g19133,2.909903335585894,344.0
g19135,-1.4836850211265031,2316.0
g19137,2.308154641949597,487.0
g19139,-0.29975902040992064,1757.0
g19141,0.5530047971568934,1276.0
g19143,0.2914748260902129,1425.0
