GEOID,sovi,rank,state_id
g13117,-1.9030744257014298,122.0,g13
g13119,0.8558223769203754,62.0,g13
g13121,1.2027109716999955,49.0,g13
g13123,1.8431016253023436,32.0,g13
g13125,2.636926011127348,21.0,g13
g13127,-0.9369889126645218,107.0,g13
g13129,-0.0940901969647644,86.0,g13
g13131,0.7272010645994561,68.0,g13
g13133,2.6582671686770616,20.0,g13
g13135,0.789514781322516,66.0,g13
g13137,0.2795396438937112,77.0,g13
g13139,1.369652568022241,42.0,g13
g13141,4.516448036460598,9.0,g13
g13143,-1.054085301934817,110.0,g13
g13145,-3.287586885202575,144.0,g13
g13147,1.0427415079953328,56.0,g13
g13149,-0.9389795315027939,108.0,g13
g13151,-4.493352827064979,153.0,g13
g13153,-2.7896800659202245,136.0,g13
g13155,1.2430760832222583,48.0,g13
g13157,-1.9423110242562425,123.0,g13
g13159,-2.470265729601214,132.0,g13
g13161,0.8261066391701075,65.0,g13
g13163,1.1007317136150878,53.0,g13
g13165,1.7947735061739358,33.0,g13
g13167,2.91440016733037,17.0,g13
g13169,-2.769354712553132,135.0,g13
g13171,-1.7187578882517647,117.0,g13
g13173,-0.8538883744994858,101.0,g13
g13175,-0.12227520416602655,87.0,g13
g13177,-3.8535159219558053,148.0,g13
g13179,-4.43382045430173,152.0,g13
g13181,0.8459706917850023,64.0,g13
g13183,-4.340930166013171,150.0,g13
g13185,-3.029867433732337,139.0,g13
g13187,-3.540049947652605,145.0,g13
g13189,-0.811991934395202,100.0,g13
g13191,-1.8401860001741417,120.0,g13
g13193,3.264443114498948,14.0,g13
g13195,-1.5035190132035003,116.0,g13
g13197,3.204383972571904,16.0,g13
g13199,-0.9369105637065024,106.0,g13
g13201,2.1775636719667437,23.0,g13
g13205,2.123419842703375,25.0,g13
g13207,-1.5032641167337133,115.0,g13
g13209,1.3776497877756297,41.0,g13
g13211,-1.1169474875899057,111.0,g13
g13213,-0.31693781322020265,91.0,g13
g13215,-1.719494191018382,118.0,g13
g13217,-4.81046721855036,155.0,g13
g13219,-2.1630737549705623,126.0,g13
g13221,-0.7792764427455793,98.0,g13
g13223,-5.6986266919044235,158.0,g13
g13225,0.020111912561921963,82.0,g13
g13227,-1.7246056767440083,119.0,g13
g13229,0.4832512534966331,72.0,g13
g13231,-4.760040600992386,154.0,g13
g13233,0.4407233968287953,73.0,g13
g13235,1.0440898569570718,55.0,g13
g13237,1.0202045234452903,57.0,g13
g13239,0.644526400591763,71.0,g13
g13241,2.4711269010966084,22.0,g13
g13243,4.587608229784825,7.0,g13
g13245,-2.0073155130752056,124.0,g13
g13247,-2.7681088914220084,134.0,g13
g13249,-0.05334988120547679,84.0,g13
g13251,0.3401268188716915,75.0,g13
g13253,1.494355728684663,38.0,g13
g13255,-2.242771177296566,127.0,g13
g13257,-0.9642595716758684,109.0,g13
g13259,7.176171707926519,2.0,g13
g13261,1.140579286187871,51.0,g13
g13263,0.1358620166779989,79.0,g13
g13265,3.695764373616502,12.0,g13
g13267,3.735086137684039,11.0,g13
g13269,1.4914226402039148,39.0,g13
g13271,6.111128080887572,5.0,g13
g13273,1.9633420329819065,28.0,g13
g13275,0.7584856723662862,67.0,g13
g13277,0.8519419846292033,63.0,g13
g13279,1.8591531467335622,29.0,g13
g13281,1.3670072407566185,43.0,g13
g13283,1.2781409451824413,45.0,g13
g13285,-1.275782662181622,113.0,g13
g13287,1.0829367467607804,54.0,g13
g13289,1.60648893225842,37.0,g13
g13291,1.8457996550397093,31.0,g13
g13293,-0.6570851473705213,96.0,g13
g13295,-2.3151065772030255,128.0,g13
g13297,-3.1552080828185676,142.0,g13
g13299,1.1411781895446724,50.0,g13
g13301,2.777288282543385,19.0,g13
g13303,1.6434054015352382,35.0,g13
g13305,-0.0796277284479252,85.0,g13
g13307,1.6066890142016779,36.0,g13
g13309,6.614070903039664,4.0,g13
g13311,-1.1964933487587859,112.0,g13
g13313,2.1339332775364874,24.0,g13
g13315,4.541451865493222,8.0,g13
g13317,-0.8571308360890328,102.0,g13
g13319,0.3821592352165906,74.0,g13
g13321,-0.40286868813488674,93.0,g13
g16001,0.48390384564523503,24.0,g16
g16003,-0.47277433729721796,30.0,g16
g16005,1.0730191981002917,19.0,g16
g16007,-2.1032200788765443,34.0,g16
g16009,5.14753980951854,1.0,g16
g16011,1.2008010154678854,16.0,g16
g16013,-6.397037946795438,44.0,g16
g16015,-2.2402514158601106,35.0,g16
g16017,-0.38729566146651123,28.0,g16
g16019,-1.105502402438339,31.0,g16
g16021,-0.001306015904579183,26.0,g16
g16023,-0.1388353743810069,27.0,g16
g16025,-1.4166825026962568,33.0,g16
g16027,3.1783978100252233,4.0,g16
g16029,-3.4359158495044975,38.0,g16
g16031,1.1768347638013348,17.0,g16
g16033,1.6592029399734844,14.0,g16
g16035,1.1382975549563967,18.0,g16
g16037,-3.1194506463304847,37.0,g16
g16039,3.023116683170529,5.0,g16
g16041,-5.439742441510999,42.0,g16
g16043,-5.054223636629745,41.0,g16
g16045,2.7307212365754254,7.0,g16
g16047,0.8134141484785513,21.0,g16
g16049,2.2683163453867183,12.0,g16
g16051,-3.7999090198337413,39.0,g16
g16053,2.743939740565941,6.0,g16
g16055,-0.39352178362467405,29.0,g16
g16057,0.8109869950019917,22.0,g16
g16059,1.2763934146403277,15.0,g16
g16061,2.454389387576118,10.0,g16
g16063,0.5334753262487313,23.0,g16
g16065,-1.3831867169211591,32.0,g16
g16067,0.9966916518976098,20.0,g16
g16069,2.647535812029046,8.0,g16
g16071,-2.526902105469576,36.0,g16
g16073,3.764437494219347,2.0,g16
g16075,2.530851884560656,9.0,g16
g16077,0.25103496465743336,25.0,g16
g16079,2.367067102621229,11.0,g16
g16081,-4.866125303785614,40.0,g16
g16083,1.8739331444306007,13.0,g16
g16085,-5.615777455817437,43.0,g16
g16087,3.7533584255953247,3.0,g16
g17001,-1.1297133992783492,73.0,g17
g17003,6.515282791340663,2.0,g17
g17005,-0.47861267770349036,60.0,g17
g17007,-4.003799786355507,95.0,g17
g17009,3.6947855559291525,9.0,g17
g17011,-0.14702064339779486,52.0,g17
g17013,1.348542953669094,26.0,g17
g17015,0.8659938796962742,33.0,g17
g17017,-0.2818685528911363,56.0,g17
g17019,1.8372083950945906,20.0,g17
g17021,0.23808230435340658,46.0,g17
g17023,0.10268847510952685,49.0,g17
g17025,3.0853553847459816,13.0,g17
g17027,-2.2164692003658755,89.0,g17
g17029,0.3735489439136501,42.0,g17
g17031,-0.8709062487402289,66.0,g17
g17033,2.957006447482605,14.0,g17
g17035,-0.1865468942548607,53.0,g17
g17037,-1.8710806247786131,84.0,g17
g17039,-1.6873065405313967,80.0,g17
g17041,-1.8361763164040272,83.0,g17
g17043,-4.47258229820019,97.0,g17
g17045,0.6126988463753364,38.0,g17
g17047,0.6545834361324264,36.0,g17
g17049,-2.015859600527019,87.0,g17
g17051,1.066393703779076,29.0,g17
g17053,-0.9482112726591068,69.0,g17
g17055,2.2626338280176386,17.0,g17
g17057,0.3616382975217456,43.0,g17
g17059,5.381813944312381,4.0,g17
g17061,0.2055758389750863,48.0,g17
g17063,-3.867126998483459,94.0,g17
g17065,3.4633984864413647,11.0,g17
g17067,0.5258591308617464,40.0,g17
g17069,8.078314937616955,1.0,g17
g17071,0.9497522245051175,32.0,g17
g17073,-1.5780533116545608,79.0,g17
g17075,-0.6108997851407779,62.0,g17
g17077,5.87801937207319,3.0,g17
g17079,-0.5442975567090511,61.0,g17
g17081,1.9333645992985802,19.0,g17
