,B01002_001E,B03002_001E,B03002_004E,B03002_005E,B03002_006E,B03002_012E,B06001_002E,B09020_001E,B01003_001E,B25008_001E,B25002_002E,B25003_003E,B25002_001E,B09020_021E,B01001_026E,B11001_006E,B11001_001E,B25002_003E,B19025_001E,B23022_025E,B23022_049E,B23022_001E,B17021_002E,B17021_001E,B25024_010E,B25024_001E,C24010_038E,C24010_001E,B19055_002E,B19055_001E,B09002_002E,B09002_001E,B19001_017E,B06007_005E,B06007_008E,B06007_001E,B16010_002E,B16010_001E,C24050_002E,C24050_001E,C24050_029E,B08201_002E,B08201_001E,B25064_001E,B25077_001E,GEOID
941,42.3,106525,20754,172,4263,6668,4873.0,13832,106525,105916,37780,6088,40743,287,55018,3974,37780,2963,3747640900,5391,10269,69335,7119,105713,1360,40743,23825,49925,10705,37780,20215,24984,3292,1699.0,1842.0,101652.0,4356,71119,119,49925,5977,1008,37780,1074,239500.0,13113
942,38.6,8477,3028,0,0,602,425.0,1379,8477,8345,3154,835,4482,65,4616,702,3154,1328,145990400,566,1112,5058,2466,8358,1551,4482,1439,3015,1200,3154,626,1683,71,291.0,0.0,8052.0,1663,5468,74,3015,492,177,3154,499,66400.0,13165
943,34.6,100047,39473,253,1110,4598,7557.0,9956,100047,98529,33646,8775,38275,286,52459,6544,33646,4629,2048456000,7659,10199,64708,14405,98378,1549,38275,22202,43027,8752,33646,15443,24025,484,1558.0,411.0,92490.0,9873,62330,255,43027,6698,1178,33646,959,137100.0,13217
944,46.4,15988,6018,26,24,906,798.0,3416,15988,15773,6509,1583,8674,98,8054,969,6509,2165,420359100,1605,2066,9815,3553,15801,1764,8674,2815,6059,2994,6509,1465,2404,295,189.0,9.0,15190.0,2806,11784,164,6059,1481,413,6509,655,136700.0,13133
945,34.9,45531,10379,21,272,7769,3784.0,5826,45531,44470,15766,5450,18300,198,22958,2542,15766,2534,763637800,3528,4981,28612,11456,44590,4664,18300,8630,18847,5002,15766,6620,10573,229,3715.0,240.0,41747.0,8156,28663,1835,18847,2731,1358,15766,584,84500.0,13071
946,40.5,22246,42,30,156,869,1243.0,3156,22246,22059,8310,1964,10408,5,11194,817,8310,2098,584083200,1585,2273,14657,2998,21864,1333,10408,4386,9872,2711,8310,2846,4111,315,387.0,175.0,21003.0,2098,15332,129,9872,1617,197,8310,999,191200.0,13085
947,31.7,262066,168882,486,13212,34960,21981.0,17712,262066,257790,85972,36833,104796,520,136702,19871,85972,18824,4425075600,20622,28158,176621,55125,256580,3338,104796,58535,114093,15974,85972,33169,62510,742,15805.0,8952.0,240085.0,28041,158150,452,114093,22559,6474,85972,879,111200.0,13063
948,34.5,180831,12971,281,3216,47315,14249.0,20562,180831,176981,60994,19144,68511,528,90374,7242,60994,7517,4259884500,11038,19187,115298,29747,176582,7509,68511,35751,80419,16323,60994,32769,43466,2262,21892.0,1500.0,166582.0,24507,113727,1364,80419,13053,3436,60994,843,169400.0,13139
949,37.7,955215,18948,1181,411877,79173,62015.0,139455,955215,918701,308490,134530,337389,5296,476327,38394,308490,28899,27430008900,54078,77467,629142,88962,925392,306,337389,217221,447382,96150,308490,125994,164801,19630,4631.0,122153.0,893200.0,62194,646091,3192,447382,93903,31943,308490,1433,557800.0,15003
950,39.5,154937,527,195,39488,15764,10022.0,19920,154937,152617,52267,21902,70190,525,77142,6664,52267,17923,4366103100,9171,10956,103235,15733,153058,31,70190,38260,79206,15608,52267,19264,28080,2943,1182.0,12395.0,144915.0,11044,107481,2161,79206,21736,2781,52267,1293,563500.0,15009
951,58.4,66,0,0,7,1,0.0,21,66,62,48,48,95,2,32,0,48,47,3211400,1,0,45,7,64,0,95,27,54,13,48,0,0,0,0.0,6.0,66.0,5,65,0,54,4,2,48,438,,15005
952,39.7,4236,0,27,0,78,320.0,742,4236,4195,1574,268,1908,24,1969,105,1574,334,76241700,273,408,2434,636,4204,121,1908,619,1651,601,1574,956,1184,7,25.0,0.0,3916.0,228,2759,336,1651,240,81,1574,529,121000.0,16071
953,42.2,16768,2,53,198,1333,1118.0,3164,16768,16598,6456,1645,7077,64,8302,807,6456,621,323754700,1211,1629,10063,2943,16493,786,7077,3102,6505,2654,6456,2699,3595,30,327.0,198.0,15650.0,1789,11473,432,6505,1283,273,6456,758,155500.0,16045
954,46.7,9793,0,10,14,381,499.0,1642,9793,9593,3637,785,11696,38,4770,183,3637,8059,225011300,590,611,6471,994,9611,994,11696,2229,4773,1329,3637,1404,1735,51,186.0,5.0,9294.0,588,7261,463,4773,1022,65,3637,659,244200.0,16085
955,50.3,3976,0,79,4,43,177.0,848,3976,3910,1732,339,2620,2,1936,146,1732,888,80996300,195,293,2469,537,3892,393,2620,794,1699,746,1732,481,672,22,4.0,0.0,3799.0,313,2976,230,1699,397,46,1732,564,142900.0,16003
956,31.5,13710,105,2003,2733,1044,1172.0,949,13710,13121,4468,1979,5326,54,6315,481,4468,858,353671100,354,777,9273,1530,13260,377,5326,3120,6529,761,4468,2415,3620,183,57.0,925.0,12538.0,685,8191,333,6529,1118,471,4468,989,233100.0,02150
957,34.2,9317,46,4869,413,264,749.0,403,9317,7329,1991,1098,2527,75,3472,455,1991,536,171155000,706,456,6903,1158,9171,23,2527,1636,4901,341,1991,899,1706,103,62.0,772.0,8568.0,864,5911,1127,4901,834,1030,1991,969,151100.0,02185
958,30.7,97523,4267,6298,2457,5898,7845.0,6383,97523,93979,35740,14252,41371,125,45973,3625,35740,5631,2979642000,4034,6636,68681,7517,93932,1599,41371,21759,46244,5469,35740,15583,22471,1373,975.0,1108.0,89678.0,3981,59076,1822,46244,7416,1965,35740,1157,213500.0,02090
959,28.0,9580,126,6851,83,123,1113.0,608,9580,9292,2772,1267,3979,6,4436,486,2772,1207,182584000,659,675,6058,2466,9318,100,3979,1734,3548,584,2772,1405,2517,54,42.0,599.0,8467.0,849,5185,105,3548,719,1529,2772,1101,135500.0,02180
960,39.1,644,8,275,4,14,24.0,56,644,567,259,140,454,0,274,36,259,195,20373000,27,9,459,21,644,49,454,162,393,67,259,86,132,5,3.0,9.0,620.0,29,430,44,393,58,19,259,1000,148400.0,02282
961,36.3,7039,103,730,62,251,533.0,646,7039,6633,2400,820,3889,6,3200,146,2400,1489,175135900,438,607,4717,686,6924,196,3889,1369,3022,473,2400,1334,1659,82,24.0,309.0,6506.0,369,4479,322,3022,623,162,2400,1141,178600.0,02240
962,40.7,3114,405,552,1258,449,70.0,118,3114,918,394,169,597,45,813,67,394,203,28153700,13,54,2772,512,3109,43,597,613,2604,64,394,137,223,14,375.0,1281.0,3044.0,495,2429,86,2604,155,84,394,847,120900.0,02013
963,40.9,55474,302,4354,782,1698,3380.0,6287,55474,53593,21964,5673,30302,315,26474,1941,21964,8338,1645818400,3736,5037,37842,4930,54055,1861,30302,11435,25355,5637,21964,8705,12281,800,157.0,547.0,52094.0,2711,37786,3113,25355,4951,1155,21964,852,202300.0,02122
964,42.2,3822,50,467,84,158,304.0,392,3822,3619,1671,477,2149,13,1815,89,1671,478,124625400,97,148,2672,439,3770,205,2149,1059,2189,348,1671,625,751,47,58.0,123.0,3518.0,128,2704,448,2189,294,181,1671,779,206000.0,02195
965,50.8,2368,13,324,31,21,78.0,482,2368,2317,1160,302,1472,18,1241,118,1160,312,68120100,92,122,1520,178,2338,202,1472,579,1122,341,1160,254,419,11,0.0,36.0,2290.0,160,1767,161,1122,197,126,1160,759,163200.0,02275
966,47.8,53436,238,7734,139,9612,3116.0,12454,53436,52352,20245,4751,32644,351,26685,1995,20245,12399,993465200,5574,6255,30884,10935,52496,7941,32644,8710,18375,9347,20245,6180,9408,157,1326.0,471.0,50320.0,5739,38365,2137,18375,4858,1627,20245,722,140500.0,04007
967,39.9,131118,4872,976,2202,42595,8416.0,22820,131118,123009,49220,15477,59160,509,64281,5765,49220,9940,2916644800,8806,13242,81666,20464,123110,13033,59160,23166,47333,18395,49220,17869,26138,1027,10573.0,1241.0,122702.0,13054,88805,1530,47333,11322,3373,49220,763,151800.0,04003
968,32.1,71618,207,51562,251,4286,5921.0,8436,71618,70077,19035,4522,32548,141,35946,3947,19035,13513,805707100,11000,10628,43574,23909,70257,6664,32548,9988,18947,6289,19035,9323,16146,197,530.0,7551.0,65697.0,10646,41544,520,18947,4921,2326,19035,524,85200.0,04001
969,33.6,196420,3357,1946,2100,117002,15042.0,31381,196420,188778,70111,21335,88064,552,97519,10316,70111,17953,3653227300,13278,20288,116608,40405,188472,26368,88064,30535,67662,23633,70111,30330,46701,962,38990.0,1108.0,181378.0,34101,119622,5940,67662,16294,4075,70111,808,125300.0,04027
970,34.8,107415,868,44810,524,11549,8608.0,14385,107415,104946,34867,9638,56910,178,53679,6256,34867,22043,1743390800,12496,13540,64890,29165,104688,13335,56910,16737,34201,12166,34867,15291,24669,401,2150.0,7226.0,98807.0,12915,65234,907,34201,8266,2991,34867,667,122000.0,04017
971,42.9,15981,38,52,7,223,877.0,3208,15981,15858,6848,1793,8057,52,8154,700,6848,1209,295473800,1178,1616,9669,2972,15866,815,8057,2805,6338,2935,6848,2250,3083,35,132.0,9.0,15104.0,2630,11248,706,6338,925,370,6848,454,61200.0,05021
972,37.5,18615,5271,12,112,460,1140.0,2738,18615,17679,7494,2726,8473,135,9667,1303,7494,979,330184200,1629,1931,12013,4261,17594,2080,8473,3911,7813,2487,7494,2194,3665,26,238.0,98.0,17475.0,2044,11794,600,7813,1369,404,7494,599,80700.0,05043
973,41.3,17992,53,22,76,290,1128.0,3343,17992,17638,7274,1717,8518,188,9244,645,7274,1244,327312200,1754,2076,10955,3623,17558,1099,8518,3178,6836,3126,7274,2440,3439,113,68.0,20.0,16864.0,2448,12327,469,6836,1162,632,7274,503,68100.0,05121
974,41.4,37032,113,240,193,720,2238.0,6761,37032,36530,14748,3989,16814,309,18892,1455,14748,2066,785713100,2523,3496,22739,5755,36468,2142,16814,7392,15466,5925,14748,5468,7753,255,146.0,132.0,34794.0,3746,25620,377,15466,2846,869,14748,559,105300.0,05009
975,39.1,12922,6192,37,0,581,992.0,2022,12922,12807,5324,2313,6289,93,6829,1046,5324,965,236657500,1104,1445,7945,3635,12807,752,6289,2554,5183,1993,5324,1550,2875,40,272.0,13.0,11930.0,2094,8620,543,5183,775,744,5324,531,59300.0,05041
976,44.2,96249,7988,570,844,4643,5433.0,19926,96249,94167,39791,11973,50384,630,49633,4678,39791,10593,2160081300,6431,9584,58499,17872,94232,7380,50384,18438,39260,17274,39791,11265,16924,939,1633.0,771.0,90816.0,9572,68495,462,39260,7607,2872,39791,711,131500.0,05051
